﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Symbol,Name,Qty,Price,Day Gain/Loss,Day Gain/Loss %,Market Value £,Market Value,Book Cost,Gain/Loss,Gain/Loss %,Average Price
TR27,4¼% Treasury Gilt 2027,3447.63,£0.9964,£-5.52,-0.16%,"£3,435.22","£3,435.22","£3,481.98",£-46.76,-1.34%,£1.009963
TR34,4½% Treasury Gilt 2034,3329.08,£0.9654,£-30.96,-0.95%,"£3,213.89","£3,213.89","£3,444.23",£-230.34,-6.69%,£1.034589
TR30,4¾% Treasury Gilt 2030,3319.41,£1.0069,£-16.27,-0.49%,"£3,342.31","£3,342.31","£3,480.61",£-138.30,-3.97%,£1.048563
ADM,Admiral Group,110,"3,272.00p",£-22.00,-0.61%,"£3,599.20","£3,599.20",£0.00,"£3,599.20",100.00%,0.00p
IGG,IG Group Holdings,541,"1,536.00p",£-10.82,-0.13%,"£8,309.76","£8,309.76",£0.00,"£8,309.76",100.00%,0.00p
LGEN,Legal & General Group,1239,263.70p,£-1.24,-0.04%,"£3,267.24","£3,267.24",£0.00,"£3,267.24",100.00%,0.00p
B8XYYQ8,Royal London Short Term Money Mkt Y Acc,32710.5671,120.905p,£5.89,0.02%,"£39,548.71","£39,548.71","£37,381.65","£2,167.06",5.80%,114.28p
TG33,UNITED KINGDOM 0.875 31/07/2033,4582.43,£0.7574,£-29.33,-0.84%,"£3,470.73","£3,470.73","£3,497.00",£-26.27,-0.75%,£0.763132
TG32,UNITED KINGDOM 1 31/01/2032,4291.99,£0.8142,£-22.32,-0.63%,"£3,494.54","£3,494.54","£3,479.60",£14.94,0.43%,£0.81072
TG26,UNITED KINGDOM 1.5 22/07/2026,3683.54,£0.9954,£1.11,0.03%,"£3,666.60","£3,666.60","£3,500.00",£166.60,4.76%,£0.950173
T27A,UNITED KINGDOM 4.125 29/01/2027,3508.8,£0.998,£-2.11,-0.06%,"£3,501.78","£3,501.78","£3,502.78",£-1.00,-0.03%,£0.998284
T35,UNITED KINGDOM 4.5 07/03/2035,4500,£0.9584,£-40.95,-0.94%,"£4,312.80","£4,312.80","£4,494.12",£-181.32,-4.03%,£0.998693
T34,UNITED KINGDOM 4.625 31/01/2034,3508.86,£0.9774,£-26.67,-0.76%,"£3,429.56","£3,429.56","£3,548.85",£-119.29,-3.36%,£1.011397
"",,,Totals,,,,,,,,
"",,,GBP,£-201.19,-0.28%,"£86,592.34","£86,592.34","£69,810.82","£16,781.52",24.04%,
